Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.423  (± 0.0%) i/s -     22.000  in   5.005526s
==================================
  Mode: wall(10)
  Samples: 214187 (2.33% miss rate)
  GC: 539 (0.25%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
    105858  (49.4%)       11486   (5.4%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection_with_args
    105865  (49.4%)        6558   (3.1%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection
      9101   (4.2%)        6065   (2.8%)     GraphQL::Execution::Interpreter::Runtime#set_all_interpreter_context
     14576   (6.8%)        4330   (2.0%)     GraphQL::Schema::Field#public_send_field
    105851  (49.4%)        3816   (1.8%)     GraphQL::Execution::Interpreter::Runtime#continue_field
     29286  (13.7%)        3315   (1.5%)     GraphQL::Schema::Field#resolve
      3277   (1.5%)        3277   (1.5%)     Kernel#is_a?
      3036   (1.4%)        3036   (1.4%)     GraphQL::Query::Context#[]=
      3956   (1.8%)        2775   (1.3%)     Hash#fetch
    105857  (49.4%)        2425   (1.1%)     GraphQL::Execution::Interpreter::Runtime#after_lazy
      5144   (2.4%)        2415   (1.1%)     GraphQL::Execution::Interpreter::Runtime#lazy?
      5072   (2.4%)        2216   (1.0%)     GraphQL::Execution::Interpreter::Runtime#gather_selections
      1729   (0.8%)        1729   (0.8%)     Kernel#hash
    105866  (49.4%)        1621   (0.8%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selections
     25123  (11.7%)        1597   (0.7%)     GraphQL::Schema::LazyHandlingMethods#after_lazy
      1587   (0.7%)        1587   (0.7%)     Kernel#respond_to?
      4827   (2.3%)        1535   (0.7%)     GraphQL::Execution::Interpreter::Runtime#set_result
      6939   (3.2%)        1526   (0.7%)     Kernel#public_send
      2166   (1.0%)        1514   (0.7%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash#[]=
      1513   (0.7%)        1513   (0.7%)     GraphQL::Execution::Interpreter::Runtime#dead_result?
     34715  (16.2%)        1454   (0.7%)     GraphQL::Query#with_error_handling
      1408   (0.7%)        1408   (0.7%)     GraphQL::Schema.lazy_methods
      2548   (1.2%)        1383   (0.6%)     GraphQL::Schema::Field#authorized?
      3923   (1.8%)        1343   (0.6%)     GraphQL::Execution::Interpreter::Runtime#continue_value
      4077   (1.9%)        1325   (0.6%)     GraphQL::Schema::Object.authorized_new
      4500   (2.1%)        1280   (0.6%)     GraphQL::Execution::Lazy::LazyMethodMap#get
      2860   (1.3%)        1175   (0.5%)     Concurrent::Collection::MriMapBackend#compute_if_absent
