Warming up --------------------------------------
Run large introspection
                         1.000  i/100ms
Calculating -------------------------------------
Run large introspection
                          4.273  (± 0.0%) i/s -     22.000  in   5.151236s
==================================
  Mode: wall(10)
  Samples: 180758 (2.08% miss rate)
  GC: 866 (0.48%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
     90466  (50.0%)        9161   (5.1%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection_with_args
     90473  (50.1%)        5794   (3.2%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection
      8122   (4.5%)        5405   (3.0%)     GraphQL::Execution::Interpreter::Runtime#set_all_interpreter_context
     90461  (50.0%)        3574   (2.0%)     GraphQL::Execution::Interpreter::Runtime#continue_field
     11287   (6.2%)        2999   (1.7%)     GraphQL::Schema::Field#public_send_field
      2800   (1.5%)        2800   (1.5%)     Kernel#is_a?
      2717   (1.5%)        2717   (1.5%)     GraphQL::Query::Context#[]=
      3502   (1.9%)        2552   (1.4%)     Hash#fetch
     24347  (13.5%)        2538   (1.4%)     GraphQL::Schema::Field#resolve
      4759   (2.6%)        2295   (1.3%)     GraphQL::Execution::Interpreter::Runtime#lazy?
     90466  (50.0%)        2221   (1.2%)     GraphQL::Execution::Interpreter::Runtime#after_lazy
      4262   (2.4%)        1887   (1.0%)     GraphQL::Execution::Interpreter::Runtime#gather_selections
      4504   (2.5%)        1766   (1.0%)     GraphQL::Schema::Member::HasArguments#arguments
      1595   (0.9%)        1595   (0.9%)     Kernel#respond_to?
      2165   (1.2%)        1468   (0.8%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash#[]=
      4116   (2.3%)        1429   (0.8%)     GraphQL::Schema::Field#authorized?
      1388   (0.8%)        1388   (0.8%)     Kernel#hash
     90473  (50.1%)        1382   (0.8%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selections
      4410   (2.4%)        1302   (0.7%)     GraphQL::Execution::Interpreter::Runtime#set_result
      6488   (3.6%)        1284   (0.7%)     Kernel#public_send
     28737  (15.9%)        1256   (0.7%)     GraphQL::Query#with_error_handling
      1195   (0.7%)        1195   (0.7%)     GraphQL::Execution::Interpreter::Runtime#dead_result?
      3548   (2.0%)        1180   (0.7%)     GraphQL::Schema::Object.authorized_new
      1098   (0.6%)        1098   (0.6%)     GraphQL::Schema.lazy_methods
      3486   (1.9%)        1074   (0.6%)     GraphQL::Execution::Lazy::LazyMethodMap#get
      3342   (1.8%)        1065   (0.6%)     GraphQL::Execution::Interpreter::Runtime#continue_value
     90523  (50.1%)         996   (0.6%)     Hash#each
