Warming up --------------------------------------
Querying for 1000 objects
                         1.000  i/100ms
Calculating -------------------------------------
Querying for 1000 objects
                          3.335  (± 0.0%) i/s -     17.000  in   5.101803s
==================================
  Mode: wall(1)
  Samples: 635355 (45.11% miss rate)
  GC: 4965 (0.78%)
==================================
     TOTAL    (pct)     SAMPLES    (pct)     FRAME
     32514   (5.1%)       18034   (2.8%)     GraphQL::Execution::Interpreter::Runtime#set_all_interpreter_context
    322152  (50.7%)       17740   (2.8%)     GraphQL::Execution::Interpreter::Runtime#continue_field
     15894   (2.5%)       15894   (2.5%)     Kernel#is_a?
     14480   (2.3%)       14480   (2.3%)     GraphQL::Query::Context#[]=
    322168  (50.7%)       14337   (2.3%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection_with_args
    322178  (50.7%)       10958   (1.7%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selection
    321345  (50.6%)       10542   (1.7%)     GraphQL::Execution::Interpreter::Runtime#resolve_list_item
     55774   (8.8%)       10019   (1.6%)     GraphQL::Schema::Member::HasArguments#arguments
      9856   (1.6%)        9856   (1.6%)     Kernel#hash
      8986   (1.4%)        8986   (1.4%)     Kernel#respond_to?
      8802   (1.4%)        8802   (1.4%)     GraphQL::Execution::Interpreter::Runtime#dead_result?
    322235  (50.7%)        7222   (1.1%)     Hash#each
    322168  (50.7%)        6315   (1.0%)     GraphQL::Execution::Interpreter::Runtime#after_lazy
      6261   (1.0%)        6261   (1.0%)     Kernel#class
     10059   (1.6%)        5901   (0.9%)     Hash#fetch
     22404   (3.5%)        5883   (0.9%)     GraphQL::Execution::Interpreter::Runtime#set_result
     93425  (14.7%)        5604   (0.9%)     GraphQL::Schema::Member::HasArguments#coerce_arguments
     64390  (10.1%)        5520   (0.9%)     GraphQL::Schema::Field#resolve
      5115   (0.8%)        5115   (0.8%)     Module#===
      5010   (0.8%)        5010   (0.8%)     (sweeping)
     18269   (2.9%)        4890   (0.8%)     GraphQL::Schema::Warden#visible_argument?
      9840   (1.5%)        4790   (0.8%)     GraphQL::Execution::Interpreter::Resolve.resolve
    332543  (52.3%)        4667   (0.7%)     Array#each
     12760   (2.0%)        4517   (0.7%)     GraphQL::Execution::Interpreter::Runtime#continue_value
      5836   (0.9%)        4432   (0.7%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultHash#[]=
     17308   (2.7%)        3997   (0.6%)     GraphQL::Schema::Field#public_send_field
      6124   (1.0%)        3894   (0.6%)     GraphQL::Execution::Interpreter::Runtime::GraphQLResultArray#[]=
     26798   (4.2%)        3665   (0.6%)     GraphQL::Schema::Field#authorized?
     35759   (5.6%)        3627   (0.6%)     GraphQL::Schema::Warden.visible_entry?
      7009   (1.1%)        3594   (0.6%)     Kernel#dup
     30599   (4.8%)        3551   (0.6%)     Kernel#public_send
      3796   (0.6%)        3515   (0.6%)     Hash#key?
     15449   (2.4%)        3455   (0.5%)     GraphQL::Execution::Interpreter::Runtime#lazy?
      4612   (0.7%)        3259   (0.5%)     GraphQL::Schema::Warden#visible_and_reachable_type?
      6512   (1.0%)        3232   (0.5%)     GraphQL::Schema::Warden#visible?
      3145   (0.5%)        3145   (0.5%)     GraphQL::Schema::NonNull#non_null?
     16661   (2.6%)        2789   (0.4%)     GraphQL::Schema::Field#with_extensions
      2612   (0.4%)        2612   (0.4%)     NilClass#===
      2537   (0.4%)        2537   (0.4%)     GraphQL::Schema.lazy_methods
    322178  (50.7%)        2147   (0.3%)     GraphQL::Execution::Interpreter::Runtime#call_method_on_directives
    322178  (50.7%)        2097   (0.3%)     GraphQL::Execution::Interpreter::Runtime#evaluate_selections
      5773   (0.9%)        2080   (0.3%)     Class#new
      5754   (0.9%)        2042   (0.3%)     GraphQL::Schema::Argument#coerce_into_values
      7251   (1.1%)        2038   (0.3%)     GraphQL::Schema::Warden.from_context
      1995   (0.3%)        1995   (0.3%)     Array#initialize_copy
      1965   (0.3%)        1965   (0.3%)     GraphQL::Schema::Argument#type
      1952   (0.3%)        1952   (0.3%)     #<Class:0x000000010e5b3448>.lambda
      4128   (0.6%)        1924   (0.3%)     GraphQL::Schema::Field#run_extensions_before_resolve
      1776   (0.3%)        1776   (0.3%)     GraphQL::Schema::Member::HasArguments#own_arguments
      1731   (0.3%)        1731   (0.3%)     GraphQL::Schema::Scalar.kind
      1726   (0.3%)        1726   (0.3%)     GraphQL::Schema::Field#type
     71013  (11.2%)        1716   (0.3%)     GraphQL::Query#with_error_handling
     28925   (4.6%)        1706   (0.3%)     GraphQL::Schema::LazyHandlingMethods#after_lazy
      7986   (1.3%)        1687   (0.3%)     GraphQL::Execution::Interpreter::Runtime#gather_selections
      1685   (0.3%)        1685   (0.3%)     GraphQL::Schema.error_handler
      4591   (0.7%)        1563   (0.2%)     Concurrent::Collection::MriMapBackend#compute_if_absent
      7033   (1.1%)        1538   (0.2%)     GraphQL::Execution::Lazy::LazyMethodMap#get
      1384   (0.2%)        1383   (0.2%)     Array#any?
      1634   (0.3%)        1370   (0.2%)     GraphQL::Execution::Interpreter::Arguments#initialize
      2056   (0.3%)        1285   (0.2%)     GraphQL::Query::Context#[]
      1284   (0.2%)        1284   (0.2%)     Kernel#freeze
      3410   (0.5%)        1234   (0.2%)     Kernel#initialize_dup
      1231   (0.2%)        1231   (0.2%)     GraphQL::Query::Context#warden
      2469   (0.4%)        1174   (0.2%)     GraphQL::Schema::Validator.validate!
      2599   (0.4%)        1160   (0.2%)     GraphQL::Schema::Member::HasValidators#validators
      1140   (0.2%)        1140   (0.2%)     Hash#[]=
      3057   (0.5%)        1125   (0.2%)     GraphQL::Schema::Field::ScopeExtension#after_resolve
      1622   (0.3%)        1058   (0.2%)     GraphQL::Schema::Wrapper#unwrap
      2186   (0.3%)        1029   (0.2%)     Hash#each_value
     10593   (1.7%)        1023   (0.2%)     GraphQL::Schema::LazyHandlingMethods#lazy_method_name
      2328   (0.4%)         993   (0.2%)     GraphQL::Types::String.coerce_result
